Timeslot,1st speaker name,1st speaker handle,2nd speaker name,2nd speaker handle,3rd speaker name,3rd speaker handle,4th speaker name,4th speaker handle,talk id,Linked Sessions,Conference Events,Title,Description,Location,Session Type,Type,Start,End,Location Description,Track
"March 29, 2026 03:00 PM - 03:30 PM",@dame.is,Dame,,,,,,,9qjDJZG,From Toilets to Moths: The Future of Social Media is Weird and Not For Everyone,Day 4 Slot 8 b,From Toilets to Moths: The Future of Social Media is Weird and Not For Everyone,"Over the course of 12 months, I created a dozen ATmosphere based projects, apps, and experiences ranging from a decentralized toilet to a client interface named after a moth. Collectively these projects amassed 100,000 unique visitors and over half a million page views. Each project took me deeper and deeper into the world of the AT Protocol and showed me what the future of social media might look like... and what it could take to get there. Over the course of this presentation I will share the lessons I learned and what I think it means for the future of social media.",Performance Theater,Presentation,Session,"March 29th, 2026 3:00pm","March 29th, 2026 3:30pm",,Development and Protocol
"March 29, 2026 04:10 PM - 04:20 PM",@calabro.io,Jim Calabro,,,,,,,QKNkKMX,Scaling the Atmosphere,Day 4 Lightning talk c 2,Scaling the Atmosphere,Lessons learned from building and scaling atproto and bsky.app. How do you move beyond an appview powered by a single sqlite? How are we at Bluesky PBC building scalable and reliable infrastructure that can A) be provided as a service and B) be run by self-hosters. What's next for us and the ecosystem scaling-wise?,Room 2301,Lightning Talk,Session,"March 29th, 2026 4:10pm","March 29th, 2026 4:20pm",,Development and Protocol
"March 29, 2026 04:20 PM - 04:30 PM",@sarava.net,Ramalingam Saravanan,,,,,,,xX5yRJr,Skylimit: A curating web client with fine-grained controls to mimic the newspaper experience ,Day 4 Lightning talk c 3,Skylimit: A curating web client with fine-grained controls to mimic the newspaper experience ,"The goal of many social media platforms is to maximize your screen time. Skylimit is a curation algorithm designed to optimize your limited screen time. It attempts to answer the following question: If I decide to limit myself to viewing, say, 500 posts per day (on average), what is the best way to manage my Following Feed?

As a Bluesky user who follows many people, I would like to view the most relevant and interesting posts in my feed. This is similar to the decisions editors make when populating a fixed number of pages in a printed newspaper—they must choose from news items on numerous topics, regular pieces by columnists, and more. Skylimit aims to mimic aspects of the print news reading experience in the digital world by creating a curated version of the Following Feed with statistical settings for each followee that go beyond just muting.

The talk will discuss the various trade-offs involved in achieving this goal and demonstrate a prototype Bluesky web client (skylimit.dev) that implements the curation algorithm. Issues to be discussed include: how to (statistically) select and display “important” posts, handling “quiet posters,” and presenting periodic digest editions.",Room 2301,Lightning Talk,Session,"March 29th, 2026 4:20pm","March 29th, 2026 4:30pm",,Development and Protocol
"March 29, 2026 04:00 PM - 04:10 PM",@nickthesick.com,Nicholas Perez,,,,,,,q4QdXj7,ATProto design philosophy behind BookHive,Day 4 Lightning talk b 1,ATProto design philosophy behind BookHive,"This talk will go into depth on the design philosophy that underpins my project BookHive, a book tracking application comparable to Goodreads. The main point is a call to action that we should give users' agency over their data, by aiming to make the data that we store in their PDS as interoperable as possible. This means more than just recording IDs in their PDS, actually giving them the data that you use to construct your application.",Performance Theater,Lightning Talk,Session,"March 29th, 2026 4:00pm","March 29th, 2026 4:10pm",,Development and Protocol
"March 29, 2026 04:00 PM - 04:10 PM",@raedisch.net,Jasper Rädisch,,,,,,,5B02jaM,Keywords vs Embeddings,Day 4 Lightning talk c 1,Keywords vs Embeddings,"Insights from building discovery feeds: from naive keyword extraction to naive embedder usage to better insights into how both work and might be combined to understand and match Bluesky posts(-ers). Based on your feedback I can make this more or less ATproto specific (e.g. scraping pitfalls), also more or less technical, leaning towards less technical. A light intro to TF-IDF (sparse) vs EmbeddingGemma (dense) vectors.",Room 2301,Lightning Talk,Session,"March 29th, 2026 4:00pm","March 29th, 2026 4:10pm",,Development and Protocol
"March 29, 2026 04:30 PM - 05:00 PM",@nonbinary.computer,Orual,,,,,,,ZjL74D0,Jacquard Magic: how to make atproto actually easy with Rust,Day 4 Slot 10 b,Jacquard Magic: how to make atproto actually easy with Rust,"Retrospective on development of Jacquard. The process of seeing a need/gap, both for oneself and others, and then filling it. Covering implementation details (see https://alpha.weaver.sh/nonbinary.computer/Jacquard/jacquard_magic for a written example of the kind of thing that would be included), challenges, decision-making, why Rust.

Could include workshop component where people write some Rust atproto code. No previous Rust experience required, I'd provide a getting started template and such.",Performance Theater,Presentation,Session,"March 29th, 2026 4:30pm","March 29th, 2026 5:00pm",,Development and Protocol
"March 29, 2026 05:00 PM - 05:30 PM",@hilk.eu,Hilke Ros,,,,,,,A7YLlpl,"An artist dreaming in the Atmosphere: visions about commmunity, sustainability and creativity",Day 4 Slot 11 b,"An artist dreaming in the Atmosphere: visions about commmunity, sustainability and creativity","Sharing visions about how artists could thrive in the ATProto ecosystem:
1. building community and inspiration in different paces, with an artist curated app, from microvisuals, microblogging to book clubs and music shows.
2. financial sustainability: a proposal for artist owned music distribution and licensing from the PDS
3. creativity: redefining composition techniques with ATProto technology",Performance Theater,Presentation,Session,"March 29th, 2026 5:00pm","March 29th, 2026 5:30pm",,Community
"March 29, 2026 01:30 PM - 02:00 PM",@drkalyn.blacksky.team,Dr. KaLyn Coghill,,,,,,,2E9XG1b,Creating a Safer Web: Blacksky's Moderation Tool,Day 4 Slot 5 c,Creating a Safer Web: Blacksky's Moderation Tool,"In this presentation, I will discuss our moderation service, how we use Polis to bring the community in to make decisions on creating new labels, and some of the best practices among our volunteer moderators and Trust and Safety team. The goal is to give others (communities and developers) on the protocol some ideas to think about when spinning up their own moderation tools. ",Room 2301,Presentation,Session,"March 29th, 2026 1:30pm","March 29th, 2026 2:00pm",,Community
"March 29, 2026 02:00 PM - 02:30 PM",@scoiattolo.mountainherder.xyz,D Scarnecchia,,,,,,,LZ4oWrj,Two Years of Skywatch: Lessons Learned for Community Moderation,Day 4 Slot 6 c,Two Years of Skywatch: Lessons Learned for Community Moderation,"What has it been like to run a large community labeler over the course of two years? I'll focus heavily on lessons learned, including reflections on what and who it serves, the missteps and pitfalls made along the way, and what I would do differently if I were to start all over again.

I'll reflect on how I've come to view community labeling is distinct from Trust & Safety or moderation and the role it can still play in the ecosystem, along with thoughts on what directions the labeler ecosystem might explore in the future.",Room 2301,Presentation,Session,"March 29th, 2026 2:00pm","March 29th, 2026 2:30pm",,Community
"March 29, 2026 02:30 PM - 03:00 PM",@cassidyjames.com,Cassidy James Blaede,,,,,,,0Qq9NlZ,Coop: Open source Trust & Safety infrastructure for all,Day 4 Slot 7 c,Coop: Open source Trust & Safety infrastructure for all,"As protocols and platforms grow, so do the demands of trust and safety dashboards, human review queues, and automated policy enforcement—yet most trust and safety solutions remain closed, proprietary, reinvented in isolation, and too often out of reach for smaller and decentralized platforms.

Robust Open Online Safety Tools (ROOST) is building a different future: one where the trust and safety tools that form this critical layer of Internet infrastructure are open, transparent, community-governed, and usable by platforms and organizations of all sizes. Attendees will get a quick refresher on what “trust and safety” means, hear how ROOST is succeeding with a non-profit and open source approach; see a demo of the open source Coop review tool in action; and finally, learn how to adopt and contribute to Coop and other open source trust and safety tools with ROOST.",Room 2301,Presentation,Session,"March 29th, 2026 2:30pm","March 29th, 2026 3:00pm",,Media and Civics
"March 29, 2026 03:00 PM - 03:30 PM",@hailey.at,Hailey Elizabeth,,,,,,,rjQp2Z2,ATProto and Osprey: Automating Moderation in the Atmosphere,Day 4 Slot 8 c,ATProto and Osprey: Automating Moderation in the Atmosphere,"Moderation at any scale is hard, but especially when your slice of the network starts growing and automation starts becoming necessary. We'll explore how anyone can build upon ROOST's Osprey moderation engine and other tools to moderate their ATProto applications, service providers, and more.",Room 2301,Presentation,Session,"March 29th, 2026 3:00pm","March 29th, 2026 3:30pm",,Development and Protocol
"March 29, 2026 04:30 PM - 04:40 PM",@filippo.abyssdomain.expert,Filippo Valsorda,,,,,,,000TLog,AT Transparency Logs: accountable record collections,Day 4 Lightning talk c 4,AT Transparency Logs: accountable record collections,"atproto lets us delete and modify records, which for social media is definitely good. But there are cases where you'd like to instead ensure everyone is seeing the same append-only set of records, forever: software releases, for example. That's what tlogs are for! tlogs are the technology that makes Certificate Transparency, the Go Checksum Database, Sigstore and Sigsum possible. atproto gives us everything we need to make a tlog: canonically hashed records and a global mechanism to access them. We can even make the tlog configuration in-protocol, letting multiple tlog operators work like any other AppView.",Room 2301,Lightning Talk,Session,"March 29th, 2026 4:30pm","March 29th, 2026 4:40pm",,Development and Protocol
"March 29, 2026 04:40 PM - 04:50 PM",@jan.wsocial.eu,Jan Lindblad,,,,,,,000WSocial,W Social,Day 4 Lightning talk c 5,W Social,W Social's origin story,Room 2301,Lightning Talk,Session,"March 29th, 2026 4:40pm","March 29th, 2026 4:50pm",,Media and Civics
"March 29, 2026 04:50 PM - 05:00 PM",,,,,,,,,,,Day 4 Lightning talk c 6,Day 4 Lightning talk c 6,,Room 2301,,Session,"March 29th, 2026 4:50pm","March 29th, 2026 5:00pm",,
"March 29, 2026 05:00 PM - 05:30 PM",goat.navy,Edmund Edgar,,,,,,,QKqWDrG,DID:PLC War Games,Day 4 Slot 11 c,DID:PLC War Games,"- What the current DID:PLC design does and doesn't protect
- What could possibly go wrong
- How we can strengthen the social layer
- Some approaches to making the technology more robust",Room 2301,Presentation,Session,"March 29th, 2026 5:00pm","March 29th, 2026 5:30pm",,Development and Protocol
