Timeslot,1st speaker name,1st speaker handle,2nd speaker name,2nd speaker handle,3rd speaker name,3rd speaker handle,4th speaker name,4th speaker handle,talk id,Linked Sessions,Conference Events,Title,Description,Location,Session Type,Type,Start,End,Location Description,Track
"March 28, 2026 10:30 AM - 11:00 AM",@emily.gorcen.ski,Emily Gorcenski,,,,,,,gDPLaGd,Did Lexicon just accidentally solve the enterprise data problem?,Day 3 Slot 2 c,Did Lexicon just accidentally solve the enterprise data problem?,"One of the core ideas behind the Data Mesh architecture is that data products should be decentralized and domain-oriented. The main barrier to successfully implementing Data Mesh is that decades of data tooling have assumed that data governance and engineering teams are centralized. ATProto’s Lexicon data definition language, however, deftly balances both the “nouns” and “verbs” of data modeling, making it a promising candidate for implementing a decentrally-managed data architecture.",Room 2301,Presentation,Session,"March 28th, 2026 10:30am","March 28th, 2026 11:00am",,Development and Protocol
"March 28, 2026 11:00 AM - 11:30 AM",@joebasser.com,Joe Basser,,,,,,,81VNEBO,Creators First: Video & Media as the Foundation of a Thriving Creator Economy on ATProto,Day 3 Slot 3 b,Creators First: Video & Media as the Foundation of a Thriving Creator Economy on ATProto,"This panel spotlights creators on AT Protocol and the infrastructure that lets them own their audience and income. We will explore how video, music, reviews, and other media can interoperate across apps, helping artists reach fans anywhere without being tied to a single platform. Panelists will share emerging ways creators can earn, from direct fan support to premium content. Attendees will leave with a clear view of how ATProto can become the home for the next generation of creators.",Performance Theater,Discussion / Panel,Session,"March 28th, 2026 11:00am","March 28th, 2026 11:30am",,Media and Civics
"March 28, 2026 11:00 AM - 11:30 AM",,,,,,,,,,,Day 3 Slot 3 c,Day 3 Slot 3 c,,Room 2301,,Session,"March 28th, 2026 11:00am","March 28th, 2026 11:30am",,
"March 28, 2026 11:30 AM - 12:00 PM",@jimray.bsky.team,Jim Ray,,,,,,,VLa69bl,Publishing Without Platforms: Building Native Media on AT Protocol,Day 3 Slot 4 b,Publishing Without Platforms: Building Native Media on AT Protocol,"The web promised independent publishing. Social media delivered distribution. AT Protocol gives you both—without surrendering control to a platform.

This session is for journalists, newsletter writers, bloggers, and media technologists who are tired of algorithmic uncertainty and want to explore what native publishing looks like on an open protocol. We'll be talking about building publishing systems where you control your content, audience relationships, and distribution strategy.",Performance Theater,Discussion / Panel,Session,"March 28th, 2026 11:30am","March 28th, 2026 12:00pm",,Media and Civics
"March 28, 2026 11:30 AM - 12:00 PM",@leijiew.bsky.social,Leijie Wang,,,,,,,VLerG2y,Understanding the Landscape of Custom Feeds on Bluesky,Day 3 Slot 4 c,Understanding the Landscape of Custom Feeds on Bluesky,"Bluesky’s custom feeds allow users to create, govern, and share their own algorithmic feeds, shifting curation away from platform control. To understand how this ecosystem works in practice, we interviewed 26 Bluesky feed creators and third-party tool developers and analyzed 97,719 existing custom feeds. We find that hobbyist labor is central to sustaining the ecosystem, but creators face recurring challenges around maintenance, visibility, and long-term viability. Based on these findings, we lay out design implications for designing usable decentralized social media.",Room 2301,Presentation,Session,"March 28th, 2026 11:30am","March 28th, 2026 12:00pm",,Community
"March 28, 2026 01:30 PM - 02:00 PM",@sandrabarthel.bsky.social,Sandra Barthel,,,,,,,QKlrLXG,Advocating for Digital Sovereignty: European Experiences and Global Lessons ,Day 3 Slot 5 b,Advocating for Digital Sovereignty: European Experiences and Global Lessons ,"The concept of digital sovereignty has rapidly gained momentum in both Canada and Europe, reflecting growing concerns about who controls our digital infrastructure, data, and public discourse. Nowhere is this debate more dynamic than in the European Union, where lawmakers and advocacy organizations are actively shaping the future of the social web and the digital public sphere. As the founder of the Alliance of Open Networks and Democratic Public Spheres and a recent participant in the EU Summit on Digital Sovereignty, I will examine the communication strategies advocacy groups use to shape public discourse, build alliances, and engage with policymakers and the media. Attendees will understand how digital sovereignty is being debated in the EU, learn about the specific demands and advocacy tactics of European digital rights organizations, with a focus on open protocols, decentralized networks, and democratic governance. The goal of this talk is to identify opportunities for cross-border collaboration and knowledge exchange. In a year when digital policy is at the forefront of public debate, this talk offers timely, in-depth insights from the European experience, providing both inspiration and practical guidance for building a more open, decentralized, and democratic digital future.",Performance Theater,Presentation,Session,"March 28th, 2026 1:30pm","March 28th, 2026 2:00pm",,Media and Civics
"March 28, 2026 01:30 PM - 02:00 PM",@mk.gg,Matt Kane,,,,,,,XxP4RzL,"Building Cirrus: a single-user, serverless PDS",Day 3 Slot 5 c,"Building Cirrus: a single-user, serverless PDS","The reference PDS implementation is a powerful Node.js monolith designed for scale, but it's overkill for a single user who just wants to own their data. This talk introduces Cirrus, an alternative PDS built on Cloudflare Workers that scales to zero and costs pennies to run. We'll explore the technical challenges of implementing the AT Protocol in a serverless environment – you'll learn how to handle long-lived firehose connections using Durable Objects with WebSocket hibernation, and maintain repository consistency with embedded SQLite.",Room 2301,Presentation,Session,"March 28th, 2026 1:30pm","March 28th, 2026 2:00pm",,Development and Protocol
"March 28, 2026 02:00 PM - 02:30 PM",ivansigal.bsky.social,Ivan Sigal,,,,,,,OD2PpYA,Open social tech and geopolitical risk,Day 3 Slot 6 b,Open social tech and geopolitical risk,"The AT Protocol was developed as a decentralized alternative to big tech; it wasn’t envisioned as a response to authoritarian state power.  Now, however, ATProto’s openness is also potentially a source of vulnerability. What are the potential threats, and how can they be countered? We’ll explore a brief history of networked authoritarianism, and consider options and strategies to manage ATProto in adversarial political environments.",Performance Theater,Presentation,Session,"March 28th, 2026 2:00pm","March 28th, 2026 2:30pm",,Media and Civics
"March 28, 2026 02:00 PM - 02:30 PM",@tylerjfisher.com,Tyler Fisher,,,,,,,MelQ8Ak,Rethinking the Client: Why User Choice is the Key to Growth for ATProto,Day 3 Slot 6 c,Rethinking the Client: Why User Choice is the Key to Growth for ATProto,"To grow the ATProto user base, the developer community needs to offer client experiences that surpass the Web 2.0 experience. Tyler Fisher, the creator of Sill and [Tyler's Currently Untitled Sports Client], will present the challenges and opportunities around building better clients that entice users to leave existing social platforms. Attendees will learn about strategies for building new clients on top of existing lexicons and opportunities for shared infrastructure.",Room 2301,Presentation,Session,"March 28th, 2026 2:00pm","March 28th, 2026 2:30pm",,Community
"March 28, 2026 02:30 PM - 03:00 PM",@joe.germuska.com,Joe Germuska,Ben Werdmuller,@werd.io,,,,,EkGROKB,A Free Press needs Free Protocols,Day 3 Slot 7 b,A Free Press needs Free Protocols,"Proprietary social media platforms intermediate the two main things journalism needs to survive: attention and revenue. Drawing from our combined experience building tech for newsrooms from the Chicago Tribune to ProPublica, we'll explore how building on protocols, not platforms could create a media environment where both publishers and audiences control their own destiny. Two veteran news/open social web nerds have ideas about what this could look like in practice (and want to hear yours!)",Performance Theater,Presentation,Session,"March 28th, 2026 2:30pm","March 28th, 2026 3:00pm",,Community
